freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
,,,,,,,18042253,Vassar
/m/016xm_,170810,,,,,,18042269,Radio City Music Hall
,,,,,,,18042275,Wiener
/m/02fk36,479944,,,,,18308705,18042279,Alcoa
,,,,,,,18042283,B. L.
/m/06vlrs,2202554,,,,,,18042285,William Trost Richards
/m/05x8yl,1791534,59448095,,,,,18042291,Francis Hopkinson Smith
/m/03d29gn,14390708,42641268,,,,,18042301,William Stanley Haseltine
/m/0464sff,17628189,,,,,,18042307,Jayme Odgers
/m/09gb9y7,23249452,,,,,,18042311,Katherine McCoy
/m/01c20g,197544,,,8434,38404,,18042323,Pentagram
/m/06_xmt9,23804512,,,4639,42647,,18042325,Woody Pirtle
/m/0c_x5j,5036398,,,6155,,,18042329,Massimo Vignelli
/m/019rd,4031,,,2030,,,18042337,R.Buckminster Fuller
/m/01d6vj,206029,,,4809,,,18042341,Paul Rand
/m/03gxm9,849349,,,372,13698,,18042343,Saul Bass
/m/011p_b,141330,,,3859,,18301859,18042345,Peter Max
/m/05f5m4s,21270337,,,,,,18042347,Tom Geismar
,,,,,,,18042351,Peter Bradford
/m/02pnh43,9662674,,,,,,18042355,Michael Vanderbyl
,,,,,,,18042367,Earl Woods
/m/0278wby,8583897,,,,,,18042373,Daniel Hopfer
/m/02vrtkm,12160547,,,,32162,,18042375,Jean-Baptiste Monnoyer
/m/0gvv9_j,31950633,,,,,,18042387,Jacques de Lajoüe
/m/02rvj2g,11848841,,,,,,18042393,Etienne de Lavallée-Poussin
/m/028b24c,9467613,,,,,,18042405,Felice Giani
/m/02pyk1w,9973655,,,,,,18042407,Jean-Baptiste Pillement
/m/069zhm,1971257,28214692,,,,,18042411,Samuel Colman
,,,,,,,18042413,Henri Jacob
/m/0c_mmc,5030476,,,,9925,,18042415,Georges Jacob
/m/0l2tk,82058,,,,,,18042421,Brigham Young University
/m/0218gc,378325,,,1547,,,18042429,Jim Dine
/m/027lxmb,8848768,,,,,,18042465,John Follis
/m/096r5p,3341760,109372554,,,,,18042477,Gilbert Seldes
,,,,,,,18042479,Carlebach
/m/0d4nfl,5140732,,,,,,18042481,Benjamin Dean Wyatt
/m/0j5b8,69880,,,,68699,,18042489,Napoleon Bonaparte
/m/018dlc,178877,,,,4340,18299901,18042493,Sir Edward Burne-Jones
/m/07tlss,2639809,,,,,,18042501,Jacques Sarazin
/m/03m6v8,,,,,,,18042503,Condé Nast
/m/027v3x,432397,,,,45217,,18042509,Deere & Company
/m/03shcj,948203,,,,,,18042513,Hugh Ferriss
/m/0bwf4,43357,,,,8720,18298933,18042515,Katsushika Hokusai
,,,,,49801,,18042527,Rubin
/m/03n9k4,902105,,,,,,18042529,Jusepe de Ribera
/m/0cgb6r,4667874,,,,,,18042541,Ely Jacques Kahn
/m/05f8f81,21323102,,,,37798,,18042557,Jean-Guillaume Moitte
/m/05n_kgm,22130580,,,,49402,,18042559,Gabriel Huquier
/m/01k7k8,242867,46882028,,,208,18298649,18042561,Antoine Watteau
/m/051lb9,1438494,,,,,18296803,18042565,Girolamo da Carpi
/m/03fz_9,840190,,,,,,18042567,Abraham Bloemaert
/m/021f63,379665,,,2407,,,18042569,Hector Guimard
/m/026pz6n,8055836,,,,,,18042571,Israhel van Meckenem
/m/026xb3_,8237874,,,,,,18042573,Francesco Trevisani
/m/0h2vjx,7071834,,,,,,18042575,Moses Taylor
/m/03cm4xd,13884882,,,,,,18042581,Andrea Boscoli
/m/06grgz,2036265,46771018,,,,,18042589,Giovanni Domenico Tiepolo
/m/01fr20,216781,,,,,,18042591,Giovanni-Battista Tiepolo
/m/098x8z,3386316,,,,,,18042593,Giovanni Battista Foggini
,,,,,,,18042603,Daily Herald
/m/0bz8tz,4363290,,,,,,18042621,Ferdinando Fuga
/m/0bz427,4360470,,,,40651,,18042631,Carlo Marchionni
/m/03crg7c,14027539,,,,74483,,18042635,Carlo Antonio Buffagnotti
/m/07s_rc,2631276,,,,,,18042637,Jacopo Ligozzi
/m/02vz1st,12288794,,,,,,18042641,Giovanni Battista Natali
/m/01fcrg,214213,27084155,,,49618,,18042645,Andrea Mantegna
,,,,,,,18042651,Nicola Fiore
/m/0h7mqqk,33313404,,,,,,18042655,Jean-Jacques-François Le Barbier
/m/0506cv,1421679,88072957,,,,,18042657,Juste-Aurèle Meissonnier
/m/0gx8fy,6924542,,,,75283,,18042663,Nicolas Pineau
/m/0kt1vq,7649599,,,,,,18042665,Charles de Wailly
/m/09_wqs,3784876,,,,,,18042671,Giacomo Quarenghi
/m/0b1_by,3827106,,,,,,18042675,Giuseppe Valadier
/m/03hjqg9,15137196,,,,,,18042679,Pompeo Marchesi
,,,,,75379,18294921,18042681,Unknown
/m/0c8mr,,,,,,,18042685,"Marie Antoinette, Queen of France"
/m/07sq_b,2627241,,,,,,18042687,Jean-Siméon Rousseau
/m/0fdvbk,5924987,,,,,,18042689,Victor Louis
/m/03csd7n,14062739,,,,,,18042693,Giocondo Albertolli
/m/0d_x3,53408,,,2308,,,18042695,Michael Graves
/m/0gn7jg,6773379,7440183,,,,,18042697,Germain Boffrand
/m/0gg7fn6,31059811,,,,,,18042707,Charles-François Hutin
/m/0f1f0,53613,,,3910,34579,,18042729,Richard Meier
/m/0383hl,749755,,,1784,,,18042743,Alexandra Exter
/m/026n1fh,8000541,,,,,,18042789,Giuseppe Bernardino Bison
,,,,,,,18042791,Lewis Davis
,,,,,,,18042803,Allen Lewis
